Time (s),X (rad/s),Y (rad/s),Z (rad/s)
87247.026275816,0.051224,-0.038681,0.008087
87247.031219664,0.06189,-0.047195,0.007019
87247.036163511,0.074661,-0.052521,0.007019
87247.041046324,0.081055,-0.058914,0.005966
87247.045959654,0.085312,-0.069565,0.009155
87247.050903501,0.089584,-0.073837,0.010223
87247.055847349,0.089584,-0.077026,0.010223
87247.060791197,0.08638,-0.081284,0.011292
87247.065735044,0.079987,-0.088745,0.010223
87247.070678892,0.070404,-0.091934,0.008087
87247.075592222,0.062943,-0.096207,0.009155
87247.08053607,0.055496,-0.100464,0.007019
87247.085479918,0.050171,-0.104721,0.001694
87247.090423765,0.046967,-0.108994,-0.000427
87247.095367613,0.044846,-0.115372,-0.003632
87247.10031146,0.050171,-0.118576,-0.0047
87247.105255308,0.052292,-0.119644,-0.006821
87247.110199156,0.057617,-0.123901,-0.008957
87247.115112486,0.067215,-0.130295,-0.012146
87247.120056334,0.075729,-0.13562,-0.013214
87247.124969664,0.085312,-0.136688,-0.016418
87247.129913511,0.089584,-0.138809,-0.023865
87247.134857359,0.091705,-0.144135,-0.028137
87247.139801207,0.092773,-0.147339,-0.031326
87247.144745054,0.093842,-0.148407,-0.034515
87247.149658384,0.091705,-0.147339,-0.036652
87247.154602232,0.08638,-0.145203,-0.03772
87247.15954608,0.081055,-0.150528,-0.038788
87247.164489927,0.078934,-0.150528,-0.03772
87247.169433775,0.074661,-0.148407,-0.035583
87247.174347105,0.07254,-0.148407,-0.035583
87247.179290953,0.073608,-0.14946,-0.034515
87247.1842348,0.075729,-0.150528,-0.030258
87247.189178648,0.077866,-0.153732,-0.027069
87247.194122496,0.079987,-0.154785,-0.026001
87247.199035826,0.083191,-0.159058,-0.021744
87247.203979673,0.08638,-0.163315,-0.018539
87247.208923521,0.090652,-0.16864,-0.018539
87247.213867369,0.093842,-0.171829,-0.020676
87247.218811216,0.092773,-0.17717,-0.021744
87247.223755064,0.090652,-0.172897,-0.024933
87247.228668394,0.085312,-0.171829,-0.022797
87247.233612242,0.075729,-0.170776,-0.023865
87247.238556089,0.065079,-0.169708,-0.023865
87247.243499937,0.054428,-0.163315,-0.024933
87247.248443785,0.044846,-0.163315,-0.026001
87247.253357115,0.036316,-0.15799,-0.028137
87247.258300962,0.032059,-0.143082,-0.030258
87247.26324481,0.025665,-0.129227,-0.031326
87247.268188658,0.023529,-0.120697,-0.033463
87247.273132505,0.025665,-0.112183,-0.035583
87247.278045835,0.028854,-0.099396,-0.033463
87247.282989683,0.035248,-0.085556,-0.035583
87247.287964048,0.043777,-0.077026,-0.034515
87247.292877378,0.049103,-0.068512,-0.031326
87247.297851744,0.051224,-0.058914,-0.028137
87247.302765074,0.056564,-0.051468,-0.026001
87247.307708921,0.060822,-0.045074,-0.022797
87247.312652769,0.065079,-0.039749,-0.019608
87247.317566099,0.071472,-0.034424,-0.017471
87247.322509947,0.074661,-0.030151,-0.018539
87247.327453794,0.075729,-0.024826,-0.016418
87247.332397642,0.077866,-0.022705,-0.019608
87247.337310972,0.078934,-0.01738,-0.022797
87247.34225482,0.077866,-0.009918,-0.027069
87247.347198668,0.075729,-0.00885,-0.030258
87247.352142515,0.071472,-0.0056609999999999,-0.030258
87247.357086363,0.068268,0.000732,-0.030258
87247.361999693,0.058685,0.001801,-0.030258
87247.366943541,0.052292,0.001801,-0.027069
87247.371887388,0.051224,0.001801,-0.022797
